Table 1 
Schechter Function Parameters


Redshift (z)	alpha	log M*	phi* (x10^-4)	Limit	References	
		(M_sun)	(Mpc^-3)	log M_*		
(1)	(2)	(3)	(4)	(5)	(6)	
0.20-0.40	-1.19 +or- 0.08	11.20 +or- 0.10	22.4 +or- 6.0	8.0	Perez-Gonzalez+08	
0.20-0.50	-1.29 +or- 0.01	11.44 +or- 0.03	12.2 +or- 0.5	8.0	Muzzin+13	
0.20-0.50	-1.35 +or- 0.04	11.27 +or- 0.10	10.9 +or- 2.8	8.0	Tomczak+14	
0.20-0.70	-1.11 +or- 0.10	${11.22}_{-0.12}^{+0.13}$	18.2	9.2	Fontana+04	
0.30-0.50	-1.41 +or- 0.02	11.54 +or- 0.07	6.3 +or- 1.3	7.0	Mortlock+13	
0.40-0.60	-1.22 +or- 0.07	11.26 +or- 0.11	17.4 +or- 4.5	8.6	Perez-Gonzalez+08	
0.40-0.60	-1.22 +or- 0.02	11.23 +or- 0.03	14.3 +or- 1.0	7.5	Fontana+06^a	
0.40-0.70	-1.14${}_{-0.04}^{+0.04}$	11.15 +or- 0.06	18.3 +or- 2.4	8.5	Pozzetti+07	
0.50-0.75	-1.35 +or- 0.04	11.22 +or- 0.06	11.7 +or- 2.1	8.3	Tomczak+14	
0.50-1.00	-1.17 +or- 0.01	11.22 +or- 0.02	16.3 +or- 0.6	8.9	Muzzin+13	
0.50-1.00	-1.34 +or- 0.02	11.38 +or- 0.04	7.6 +or- 0.9	8.0	Mortlock+13	
0.50-1.00	-1.21${}_{-0.02}^{+0.03}$	${11.31}_{-0.08}^{+0.07}$	18.6 +or- 2.4	8.5	Kajisawa+09	
0.60-0.80	-1.26 +or- 0.08	11.25 +or- 0.08	15.1 +or- 3.7	9.2	Perez-Gonzalez+08	
0.60-0.80	-1.24 +or- 0.03	11.24 +or- 0.04	10.9 +or- 1.0	8.1	Fontana+06^a	
0.70-0.90	-1.01${}_{-0.08}^{+0.07}$	10.89 +or- 0.06	26.0 +or- 3.8	9.1	Pozzetti+07	
0.70-1.00	-1.27 +or- 0.10	${11.37}_{-0.21}^{+0.22}$	11.0	10.4	Fontana+04	
0.75-1.00	-1.38 +or- 0.04	11.38 +or- 0.12	6.8 +or- 1.9	8.4	Tomczak+14	
